id,label,highest_similarity
02gcLnKHxG0JdrS,,0
02sgXP1u4h0X6z1,,0
05VXZZk8UCFduSu,,0
05esO3iIWBk0XfY,,0
067xaE3ZL4N2eJG,MOZZARELLA,1.0
089RVbd6d2wInlm,,0
08cUl4rf2R7L9ZE,,0
08ew9F5fvNQQrsO,CHABICHOU,0.75
08l2ccuDnlf4kr5,,0
08w2wP3I4wPPowe,TÊTE DE MOINES,0.6666666666666666
09RGQFG1wbZ8T7G,CAMEMBERT,0.7058823529411765
09cG8QtzHlGVkZf,EMMENTAL,1.0
09hSqwxRIdV2K7O,TOMME DE VACHE,0.56
09vLJAIpO9DKMeA,OSSAU- IRATY,0.9090909090909091
0AAAVlAVWArvgX9,,0
0AZMAnAz4qFeevZ,MONT D’OR,0.8888888888888888
0AlT2RwIucQvyXr,,0
0BuukWqLTcloP47,,0
0Dt2IwOIU5WHcC2,,0
0DwtpnXWfRB3qk6,,0
0ECkcaSgmnUi9Kk,,0
0ECmj8nzSs80d1G,,0
0EDtAVcdfiyQf9i,FROMAGE FRAIS,0.6666666666666666
0EcJ1RUSUAiFMUf,,0
0F29IeFrA3YTqp0,,0
0FKuZDvttmijYSh,,0
0GRTrSsGQaYnO58,EPOISSES,0.5882352941176471
0HMUInIrPJs4oCz,STILTON,0.7368421052631579
0HNhwXvatTq6pMy,STILTON,0.5
0HtjqCyvwgqsyvJ,,0
0Iv8XnTYd1TyQgW,,0
0IyXe87BwFyMjoy,,0
0JZbHQdV69C5QO5,,0
0KDY6B4NUafVKVz,,0
0L26rkvdh00hqMx,EPOISSES,0.625
0LjeckXemjZpd90,CAMEMBERT,1.0
0MJ6jaGcXEyAQRl,,0
0NEn9rzhjVfhAvA,TOMME DE VACHE,0.3783783783783784
0OGl2VjveZm72gB,,0
0OHdwl5TuQ5gdmJ,,0
0PsCCXOQnn9tKfl,,0
0Q0WvUU0Mvssm1D,,0
0RmsDMlKa2UKoPj,,0
0S1KKu7rN3ROIl8,,0
0SpiSXoqeGwWQnV,,0
0TM4bFZ8ifzEilu,,0
0UI0qSPuSwzQu9R,TÊTE DE MOINES,0.5185185185185185
0VJbn7GZoJz91If,,0
0VwycdQ7BqXUiGY,MUNSTER,0.9333333333333333
0W3L1h66XOmVZaX,,0
0XJnvhZ4jk7pNC4,,0
0XqegsRRMw5oCYS,,0
0XxamPhw7Rm09l2,REBLOCHON,0.5
0Y4OZ7lCZvBVJ55,,0
0ZgCKZrBGv3kbVG,,0
0dVGVwVjsWhkEdh,,0
0eC8giexHN69XI1,FETA,0.5714285714285714
0eMlRpMjyRSEklq,,0
0f5PkSEKs6f78Lf,EPOISSES,0.875
0fYAmfC10fx0dyE,,0
0gBcpDuZo60t7Q9,FROMAGE FRAIS,0.6666666666666666
0i3bZdz0UdCc6ir,,0
0jdKoKcdm1yLuWd,,0
0jgT1vfoosKOuyw,,0
0k3X8akuWMnjmMC,,0
0kRAo1kiwFnprYo,MUNSTER,0.38095238095238093
0knSQI5Lgex0rlt,,0
